Date,AAPL,MSFT,GOOG,AMZN,TSLA,NVDA
2024-01-30,55859400,33477600,26578900,45207400,109982300,410735000
2024-01-31,55467800,47871100,43908600,50284400,103221400,453795000
2024-02-01,64885400,30657700,25526900,76542400,91843300,369146000
2024-02-02,102551700,28256700,42136100,117218300,110612700,476578000
2024-02-05,69668800,25352300,29254400,55081300,134294400,680078000
2024-02-06,43490800,18382600,21517700,42505500,122676000,683111000
2024-02-07,53439000,22340500,21436100,47174100,111535200,495575000
2024-02-08,40962000,21225300,18241300,42316500,83034000,414422000
2024-02-09,45155200,22032800,21877700,56986000,84476300,436637000
2024-02-12,41781900,21202900,17236100,51050400,95498600,613710000
2024-02-13,56529500,27824900,18138500,56345100,86759500,602580000
2024-02-14,54630500,20401200,16651800,42815500,81203000,504917000
2024-02-15,65434500,21825500,26724300,49855200,120831800,420122000
2024-02-16,49752500,22296500,21865100,48107700,111346700,495327000
2024-02-20,53665600,24307900,18625600,41980300,104545800,704833000
2024-02-21,41371400,18518900,16440800,44420100,103500300,673755000
2024-02-22,52292200,27009900,23024700,55392400,92739500,865100000
2024-02-23,45119700,16295900,14519400,59715200,78841900,829388000
2024-02-26,40867400,16193500,33513000,44368600,111747100,503973000
2024-02-27,54318900,14835800,22364000,31141700,108645400,391705000
2024-02-28,48953900,13183100,30628700,28180500,99806200,393110000
2024-02-29,136682600,31947300,35485000,53805400,85907000,507289000
2024-03-01,73563100,17823400,28551500,31981200,82243100,479135000
2024-03-04,81510100,17596000,43571500,37381500,134334900,615616000
2024-03-05,95132400,26919200,28447600,37228300,119660800,520639000
2024-03-06,68587700,22344100,23175200,32090900,107920900,582520000
2024-03-07,71765100,18718500,24107300,34063300,102129000,608119000
2024-03-08,76267000,18002200,26495200,37893200,85544600,1142269000
2024-03-11,60139500,16120800,22536400,28484800,85391500,678364000
2024-03-12,59825400,22457000,19019700,36610600,87391700,668075000
2024-03-13,52488700,17115900,19637000,30772600,106524500,635713000
2024-03-14,72913500,34157300,36117900,43705800,126325700,602318000
2024-03-15,121752700,45079900,41039500,72147400,97146800,642086000
2024-03-18,75604200,20106000,47676700,31250700,108214400,668976000
2024-03-19,55215200,19837900,17748400,26880900,77271400,672171000
2024-03-20,53423100,17860100,17730000,29947200,83846700,479063000
2024-03-21,106181300,21296200,19843900,32824300,73178000,480372000
2024-03-22,71160100,17648500,19252900,27995400,75580600,586719000
2024-03-25,54288300,18060500,15114700,29815500,74228600,552136000
2024-03-26,57388400,16725600,19312700,29659000,113186200,513648000
2024-03-27,60273300,16705000,16622000,33272600,81804000,586067000
2024-03-28,65672700,21871200,21105600,38051600,77654800,435212000
2024-04-01,46240500,16316000,24469800,29174500,81562100,452441000
2024-04-02,49329500,17912000,17598100,32611500,116650600,433064000
2024-04-03,47691700,16502300,17266200,31046600,82950100,370067000
2024-04-04,53704400,19370900,24184800,41624300,123162000,434965000
2024-04-05,42104800,16554800,16297300,42374000,143157600,399678000
2024-04-08,37425500,14272400,16641500,39221300,104423300,283220000
2024-04-09,42373800,12496900,21521500,36520100,102951700,501700000
2024-04-10,49709300,16216600,16339200,35879200,84532400,431929000
2024-04-11,91070300,17966400,17841700,40020700,94516000,431637000
2024-04-12,101670900,19253800,16989800,38608800,64722700,426805000
2024-04-15,73531800,20273500,21140900,48052400,100245300,443077000
2024-04-16,73711200,16765600,15413200,32891300,97000000,370453000
2024-04-17,50901200,15855500,16237800,31359700,82439700,495400000
2024-04-18,43122900,21029900,14016100,30723800,96098800,447260000
2024-04-19,68149400,30565800,21479900,56000700,87074500,875198000
2024-04-22,48116400,20286900,17243900,37924900,107097600,596341000
2024-04-23,49537800,15734500,16115400,37046500,124545100,438559000
2024-04-24,48251800,15065300,19485700,34185100,181178000,512208000
2024-04-25,50558300,40586500,36197800,49249400,126427500,424641000
2024-04-26,44838400,29694700,56500800,43919800,109815700,551011000
2024-04-29,68169400,19582100,35914600,54063900,243869700,388971000
2024-04-30,65934800,28781400,29420800,94639800,127031800,363709000
2024-05-01,50383100,23562500,25223200,94645100,92829700,559863000
2024-05-02,94214900,17709400,17041100,54303500,89148000,377898000
2024-05-03,163224100,17446700,22767100,39172000,75491500,398341000
2024-05-06,78569700,16996600,15147900,34725300,84390300,376203000
2024-05-07,77305800,20018200,21102400,34048900,75045900,437342000
2024-05-08,45057100,11792300,14569900,26136400,79969500,325721000
2024-05-09,48983000,14689700,11937700,43368400,65950300,378013000
2024-05-10,50759500,13402300,18740500,34141800,72627200,335325000
2024-05-13,72044800,15440200,19648600,24898600,67018900,289680000
2024-05-14,52393600,15109300,18729500,38698200,86407400,296507000
2024-05-15,70400000,22239500,20958200,75459900,79663000,417735000
2024-05-16,52845200,17530100,17247300,38834500,59812200,323952000
2024-05-17,41282900,15352200,16546400,33175700,77445800,359691000
2024-05-20,44361300,16272100,17495100,30511800,61727400,318764000
2024-05-21,42309400,21453300,14706000,50839100,115266500,328946000
2024-05-22,34648500,18073700,16189400,28148800,88313500,548648000
2024-05-23,51005900,17211700,14928400,33670200,71975500,835065000
2024-05-24,36327000,11855300,11403600,27471600,65584500,429494000
2024-05-28,52280100,15718000,15655300,29927000,59736600,652728000
2024-05-29,53068000,15517100,15023800,32009300,54782600,557442000
2024-05-30,49889100,28394500,18826300,29184700,77618400,484553000
2024-05-31,75158300,47995300,28085200,58903900,67314600,613263000
2024-06-03,50080500,17484700,20742800,30786600,68568900,438392000
2024-06-04,47471400,14348900,14066600,27198400,60056300,403324000
2024-06-05,54156800,16988000,15233900,32116400,57953800,528402000
2024-06-06,41181800,14861300,14255800,31371200,69887000,664696000
2024-06-07,53103900,13621700,14716300,28021500,56244900,412386000
2024-06-10,97010200,13982900,17099800,34445600,50774600,313434100
2024-06-11,172373300,14551100,14402400,27265100,64761900,222551200
2024-06-12,198134300,22366200,18600400,33984200,90389400,299595000
2024-06-13,97862700,15960600,15956900,39721500,118984100,260704500
2024-06-14,70122700,13582000,12361600,25456400,82038200,309320400
2024-06-17,93728300,20790000,15272900,35601900,109786100,288504400
2024-06-18,79943300,17112500,15640300,36659200,68982300,294335100
2024-06-20,86172500,19877400,16753200,44726800,55893100,517768400
2024-06-21,241805100,34187100,58903200,70792500,61937300,649445800
2024-06-24,80727000,15913700,18198300,50610400,61992100,476060900
2024-06-25,55549700,16413400,18797000,45366400,62905700,414192600
2024-06-26,66213200,16507000,13375700,65103900,95737100,362975900
2024-06-27,49772700,14806300,13025700,74397500,72746500,252571700
2024-06-28,82542700,28362300,23032400,76930200,95438100,315516700
2024-07-01,60402900,17662800,11815900,41192000,135691400,284885500
2024-07-02,58046200,13979800,12555500,45600000,205047900,218374000
2024-07-03,37369800,9932800,7409100,31597900,166561500,215749000
2024-07-05,60412400,16000300,14303400,39858900,154501200,214176700
2024-07-08,59085900,12962300,12097600,34767300,157219600,237677300
2024-07-09,48076100,17207200,10198500,32700100,160210900,285366600
2024-07-10,62627700,18196100,12052900,32883800,128519400,248978600
2024-07-11,64710600,23111200,16452000,44565000,221707300,374782700
2024-07-12,53046500,16324300,14449100,30598500,155955800,252680500
2024-07-15,62631300,14429400,12186000,40683200,146912900,208326200
2024-07-16,43234300,17175700,12760100,33994700,126332500,214769500
2024-07-17,57345900,21778000,17376600,48076100,115584800,390086200
2024-07-18,66034600,20794800,17877200,51043600,110869000,320979500
2024-07-19,49151500,20940400,14485900,43081800,87403900,217223800
2024-07-22,48201800,15808800,16303900,39931900,101225400,258068900
2024-07-23,39960300,13107100,23772600,47537700,111928200,173911000
2024-07-24,61777600,26805800,31250700,41532400,167942900,327776900
2024-07-25,51391200,29943800,28967900,44464200,100636500,460067000
2024-07-26,41601300,23583800,25150100,29506000,94604100,293399100
2024-07-29,36311800,15125800,13768900,33270100,129201800,248152100
2024-07-30,41643800,32687600,13681400,39508600,100560300,486833300
2024-07-31,50036300,42891400,15650200,41667300,67497000,473174200
2024-08-01,62501000,30296400,17177800,70435600,83861900,523462300
2024-08-02,105568600,29437900,18907800,141448400,82880100,482027500
2024-08-05,119548600,40709200,34907800,83149400,100308800,552842400
2024-08-06,69660500,24946500,36146500,59950800,73783900,409012100
2024-08-07,63516400,20650900,19334200,48408200,71159800,411440400
2024-08-08,47161100,20203000,15733600,44616200,65033900,391910000
2024-08-09,42201600,19276700,13549200,36401000,58648300,290844200
2024-08-12,38028100,16762900,12435000,30072800,64044900,325559900
2024-08-13,44155300,19414300,12717600,39237900,76247400,312646700
2024-08-14,41960600,18267000,22515900,28843800,70250000,339246400
2024-08-15,46414000,20752100,18392500,51698500,89848500,318086700
2024-08-16,44340200,22775600,16853100,31489200,88765100,302589900
2024-08-19,40687800,15234000,13100800,31129800,76435200,318333600
2024-08-20,30299000,16387600,12622500,26255200,74001200,300087400
2024-08-21,34765500,16067300,15269600,35599100,70146000,257883600
2024-08-22,43695300,19361900,19123800,32047500,79514500,376189100
2024-08-23,38677300,18493800,14281600,29150100,81525200,323230300
2024-08-26,30602200,13152800,11990300,22366200,59301200,331964700
2024-08-27,35934600,13492900,13718200,29842000,62821400,303134600
2024-08-28,38052200,14882700,15208700,29045000,64116400,448101100
2024-08-29,51906300,17045200,17133800,26407800,62308800,453023300
2024-08-30,52990800,24308300,18498800,43429400,63370600,333751600
2024-09-03,50190600,20313600,26533100,37817500,76714200,477155100
2024-09-04,43840200,15135800,17410700,30309200,80651800,372470300
2024-09-05,36615400,14195500,14139500,40170500,119355000,306850700
2024-09-06,48423000,19609500,24999100,41466500,112177000,413638100
2024-09-09,67180000,15295100,28057700,29037400,67443500,273912000
2024-09-10,51591000,19594300,20401800,36233800,78891100,268283700
2024-09-11,44587100,19266900,18991500,42564700,83548600,441422400
2024-09-12,37455600,17395700,20980800,33544200,71894900,366052700
2024-09-13,36766600,15874600,16733900,26495400,59515100,238358300
2024-09-16,59357400,13834700,14157600,26065500,54323000,248772300
2024-09-17,45519300,18874200,12064800,26091700,66761600,231925900
2024-09-18,59894900,18898000,16756500,34448100,78010200,310318900
2024-09-19,66781300,21706600,17548200,39543200,102694600,293506400
2024-09-20,318679900,55167100,46362700,100378600,99879100,382462400
2024-09-23,54146000,15128900,15648400,36993100,86927200,206228500
2024-09-24,43556100,17015800,18774100,43478900,88491000,354966800
2024-09-25,42308700,13396400,13607900,26391100,65034300,284692900
2024-09-26,36636700,14492000,18234500,36334900,67142200,302582900
2024-09-27,34026000,14896100,13604300,36002300,70988100,271009200
2024-09-30,54541900,16807300,14070100,41583900,80705700,226553700
2024-10-01,63285000,19092900,18629500,36044900,87397600,302094500
2024-10-02,32880600,16582300,12745000,23704100,93983900,221845900
2024-10-03,34044200,13686400,11004300,30204300,80729200,277118000
2024-10-04,37245100,19169700,11422100,40890300,86573200,243678100
2024-10-07,39505400,20919800,14034700,42364200,68113300,346250200
2024-10-08,31855700,19229300,11723900,26372100,56303200,285722500
2024-10-09,33591100,14974300,19666400,26343100,66289500,246191600
2024-10-10,28183500,13848400,12900500,27785000,83087100,242311300
2024-10-11,31759200,14144900,10946000,25751600,142628900,170209500
